make_id,make_name,model_id,model_name
474,Honda,1861,Accord
474,Honda,1863,Civic
474,Honda,1864,Pilot
474,Honda,1865,CR-V
474,Honda,1866,Ridgeline
474,Honda,1868,Element
474,Honda,1869,Odyssey
474,Honda,1870,Insight
474,Honda,1875,FCX Clarity
474,Honda,2127,Fit
474,Honda,2128,CR-Z
474,Honda,3153,S2000
474,Honda,3234,PCX150
474,Honda,3235,CB1100
474,Honda,3245,CRF250
474,Honda,3246,CTX1300
474,Honda,3247,CTX700
474,Honda,3249,GOLDWING
474,Honda,3251,NC700X
474,Honda,3252,METROPOLITAN
474,Honda,3253,NPS50 (Ruckus)
474,Honda,3255,ST1300PA
474,Honda,3256,INTERCEPTOR
474,Honda,3264,ST1300
474,Honda,3411,Silverwing
474,Honda,3420,CBR250
474,Honda,3422,VFR1200F
474,Honda,3438,NT700V
474,Honda,3439,PCX125
474,Honda,3445,SH150I
474,Honda,3463,VTX1800F
474,Honda,3466,CB250 (Nighthawk)
474,Honda,3474,ELITE 80
474,Honda,3475,Helix
474,Honda,3477,VTX1300C
474,Honda,3478,VTX1300R
474,Honda,3479,VTX1300S
474,Honda,3480,VTX1800C
474,Honda,3484,Shadow VLX
474,Honda,3507,ST1300P
474,Honda,3515,CB600 (599)
474,Honda,3520,NIGHTHAWK 750
474,Honda,3521,CBR1100XX
474,Honda,3522,CBR954RR
474,Honda,3527,ST1100P
474,Honda,3530,ST1100
474,Honda,3567,ELITE 50
474,Honda,3597,CBR900
474,Honda,3618,Pacific Coast
474,Honda,3654,VFR 750F
474,Honda,3666,XR250L
474,Honda,3669,Shadow 1100
474,Honda,3670,Shadow
474,Honda,3672,CT70
474,Honda,3674,RC 45
474,Honda,3684,Hawk GT
474,Honda,3695,CB-1
474,Honda,3696,ELITE 250
474,Honda,3697,Tourist Trophy
474,Honda,3698,NS50F
474,Honda,3699,NX250
474,Honda,3700,NX125
474,Honda,3701,SA50
474,Honda,3702,SB50P
474,Honda,3703,VFR750R (RC30)
474,Honda,3704,VTR
474,Honda,3705,XL600V
474,Honda,3735,VT1100C
474,Honda,3776,ELITE
474,Honda,3777,TRANSALP
474,Honda,3778,NX650
474,Honda,5107,Prelude
474,Honda,5959,Passport
474,Honda,9173,Crosstour
474,Honda,9212,HR-V
474,Honda,9577,del Sol
474,Honda,10007,CBR650
474,Honda,10251,NC700XD
474,Honda,10253,CB500
474,Honda,10618,CRF50
474,Honda,10619,XR400R
474,Honda,10620,TRX700XX
474,Honda,10622,TRX450ER
474,Honda,10791,FourTrax
474,Honda,10792,TRX400X
474,Honda,10956,Sportrax
474,Honda,10957,TRX450R
474,Honda,10958,CRF70F
474,Honda,10959,CRF100F
474,Honda,10960,CR250
474,Honda,11387,SA50P
474,Honda,11408,CR125
474,Honda,11409,XR250R
474,Honda,11435,MUV700 (Big Red)
474,Honda,11517,EV Plus
474,Honda,11588,TRX90
474,Honda,11589,XR600R
474,Honda,11590,TRX200D
474,Honda,11591,TRX200DN
474,Honda,11592,TRX250
474,Honda,11593,TRX300
474,Honda,11594,TRX300EX
474,Honda,11595,TRX300EXN
474,Honda,11596,TRX300FW
474,Honda,11597,TRX300FWN
474,Honda,11598,TRX300N
474,Honda,11599,TRX400FW
474,Honda,11600,TRX400FWN
474,Honda,11601,TRX450S
474,Honda,11602,TRX450ES
474,Honda,11603,TRX400EX
474,Honda,11650,NC700XL (NC700X)
474,Honda,11651,NC700XD (NC700X DCT)
474,Honda,11652,NC700XDL (NC700X DCT)
474,Honda,11653,CMX250 (Rebel)
474,Honda,11658,NC700JD (NM4)
474,Honda,11670,VT1300 (Stateline)
474,Honda,11674,XR650
474,Honda,11689,TRX420 (FourTrax Rancher)
474,Honda,11718,TRX420
474,Honda,11728,TRX500 (FourTrax Foreman)
474,Honda,11755,TRX680 (Rincon)
474,Honda,11756,TRX680 (FourTrax Rincon)
474,Honda,11759,NCH50 (GIORNO)
474,Honda,11760,NCH50 (METROPOLITAN)
474,Honda,11762,NSS300 (FORZA)
474,Honda,11763,NSS300A (FORZA)
474,Honda,11781,CRF110
474,Honda,11782,CRF125
474,Honda,11788,NC750JD/NM4
474,Honda,11796,MRT260/COTA 4RT260
474,Honda,11803,CBR500
474,Honda,11819,NC750X
474,Honda,11827,CBR300
474,Honda,11833,NC700XD/NC700X
474,Honda,11834,NC700XDL/NC700X
474,Honda,11835,TRX250X
474,Honda,11836,TRX450R/TRX450ER
474,Honda,11837,TRX250 (FourTrax Recon)
474,Honda,11857,CBR125
474,Honda,11875,MSX125 (Grom)
474,Honda,11876,NC750SA
474,Honda,11879,VFR800F
474,Honda,11880,VFR800F (INTERCEPTOR)
474,Honda,11882,VFR1200FD/VFR1200FA
474,Honda,11903,ST1300A
474,Honda,11967,VT1300 (Sabre)
474,Honda,11975,CBR1000
474,Honda,11978,VFR1200FA
474,Honda,11979,VFR1200FD/VFR1200F
474,Honda,11989,ST1300A/ST1300
474,Honda,11993,CRF80F
474,Honda,12021,NC700SA/NC700S
474,Honda,12022,VFR1200FAD/VFR1200FD
474,Honda,12023,CBF1000A
474,Honda,12058,VT750 (Shadow Aero)
